Asset,N Obs,Mean (%),Std Dev (%),Skewness,Kurtosis,Excess Kurtosis,Jarque-Bera,JB p-value,Ljung-Box(10) p-val,L-Box Sq.(10) p-val,ARCH-LM(10) p-val
Apple,10936,0.068,2.836,-1.746,50.616,47.616,1038675.073,0.000,0.000,0.000,0.000
Microsoft,9610,0.091,2.121,-0.569,17.834,14.834,88628.609,0.000,0.000,0.000,0.000
Johnson & Johnson,11176,0.046,1.421,-0.356,12.464,9.464,41947.719,0.000,0.000,0.000,0.000
Procter & Gamble,11176,0.049,1.428,-2.228,68.357,65.357,1998386.386,0.000,0.000,0.000,0.000
Exxon Mobil,9950,0.038,1.593,-0.404,19.138,16.138,108241.957,0.000,0.000,0.000,0.000
JPMorgan Chase,9950,0.045,2.272,-0.145,18.708,15.708,102332.521,0.000,0.000,0.000,0.000
Walmart,11176,0.069,1.699,0.042,7.848,4.848,10948.017,0.000,0.000,0.000,0.000
Coca-Cola,11176,0.051,1.467,-0.519,22.619,19.619,179738.139,0.000,0.000,0.000,0.000
IBM,11176,0.033,1.675,-0.444,16.162,13.162,81033.205,0.000,0.004,0.000,0.000
General Electric,11176,0.042,1.847,-0.111,11.516,8.516,33792.174,0.000,0.039,0.000,0.000
AT&T,10192,0.041,1.558,-0.107,9.360,6.360,17194.452,0.000,0.001,0.000,0.000
Pfizer,9950,0.041,1.691,-0.238,8.466,5.466,12481.765,0.000,0.000,0.000,0.000
Merck,11176,0.050,1.622,-0.839,21.053,18.053,153070.268,0.000,0.001,0.000,0.000
Chevron,11176,0.043,1.716,-0.330,17.027,14.027,91830.324,0.000,0.000,0.000,0.000
Boeing,11176,0.040,2.079,-0.323,15.400,12.400,71798.689,0.000,0.000,0.000,0.000
